"Table 310.10. Number of U.S. students studying abroad and percentage distribution, by sex, race/ethnicity, and other selected characteristics: 
              Selected years, 2000-01 through 2014–15",,,,,,,,,,,,,
"Sex, race/ethnicity, and other selected characteristics",2000–01,2004–05,2005–06,2006–07,2007–08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,From 2004–05 to 2014–15
1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Number of students,,,,,,,,,,,,Percent change in number of students
Total ..........................................,"154,168","205,983","223,534","241,791","262,416","260,327","270,604","273,996","283,332","289,408","304,467","313,415",52.2
,Percentage distribution of students,,,,,,,,,,,,Percentage-point change in student distribution
Sex ........................................,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,†
  Male .....................................,35.0,34.5,34.5,34.9,34.9,35.8,36.5,35.6,35.2,34.7,34.7,33.4,-1.1
  Female ..................................,65.0,65.5,65.5,65.1,65.1,64.2,63.5,64.4,64.8,65.3,65.3,66.6,1.1
,,,,,,,,,,,,,
Race/ethnicity ............................,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,†
  White ..........................................,84.3,83.0,83.0,81.9,81.8,80.5,78.7,77.8,76.4,76.3,74.3,72.9,-10.1
  Black ..........................................,3.5,3.5,3.5,3.8,4.0,4.2,4.7,4.8,5.3,5.3,5.6,5.6,2.1
  Hispanic ......................................,5.4,5.6,5.4,6.0,5.9,6.0,6.4,6.9,7.6,7.6,8.3,8.8,3.2
  Asian/Pacific Islander ....................,5.4,6.3,6.3,6.7,6.6,7.3,7.9,7.9,7.7,7.3,7.7,8.1,1.8
  American Indian/,,,,,,,,,,,,,
     Alaska Native ...............................,0.5,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
  Two or more races ....................,0.9,1.2,1.2,1.2,1.2,1.6,1.9,2.1,2.5,3.0,3.6,4.1,2.9
,,,,,,,,,,,,,
Academic level ............................,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,†
  Freshman ......................................,3.1,3.1,3.7,3.3,3.5,3.4,3.5,3.3,3.3,3.8,3.9,3.9,0.8
  Sophomore ......................................,14.0,12.2,12.8,12.9,13.1,13.9,13.2,12.6,13.0,13.7,13.1,13.1,0.9
  Junior ..................................,38.9,35.8,34.2,36.6,35.9,36.8,35.8,35.8,36.0,34.7,33.9,33.1,-2.7
  Senior ..................................,20.0,19.6,19.8,21.3,21.3,21.6,21.8,23.4,24.4,24.7,25.3,26.4,6.8
  Associate's students ....................,0.9,2.7,2.7,2.7,2.2,1.1,0.1,0.2,1.1,1.1,1.7,1.8,-0.9
"  Bachelor's, unspecified ....................",13.5,15.2,14.9,12.5,13.4,11.3,11.0,10.3,8.4,8.4,9.1,9.3,-5.9
  Master's level or higher ....................,8.3,8.9,10.0,10.5,10.5,11.8,14.0,13.5,13.5,13.5,12.7,12.1,3.2
  Other academic level ....................,1.1,2.5,1.9,#,0.1,#,1.0,0.9,0.3,0.1,0.3,0.3,-2.2
,,,,,,,,,,,,,
Host region ........................................,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,†
  Sub-Saharan Africa\1\ ....................,2.5,2.9,3.1,3.5,3.6,4.2,4.2,4.3,4.5,4.6,4.4,3.4,0.5
  Asia\2\ ...............................,6.0,8.0,9.3,10.3,11.1,11.4,12.0,11.7,12.4,12.4,11.9,11.4,3.4
  Europe\3\ ......................................,63.3,60.3,58.3,57.4,56.3,54.5,53.5,54.6,53.3,53.3,53.3,54.5,-5.8
  Latin America\4\ ...............................,14.5,14.4,15.2,15.0,15.3,15.4,15.0,14.6,15.8,15.7,16.2,16.0,1.6
"  Middle East and North Africa\1,3\ ....................",1.6,1.5,1.8,1.8,2.2,2.5,3.1,2.6,2.5,2.2,2.1,2.2,0.7
"  North America\4,5\ ....................",0.7,0.5,0.5,0.6,0.4,0.5,0.7,0.5,0.6,0.5,0.5,0.5,#
  Oceania ......................................,6.0,6.7,6.3,5.7,5.3,5.5,5.0,4.8,4.5,4.0,3.9,4.0,-2.7
  Multiple destinations ....................,5.6,5.6,5.5,5.6,5.7,6.0,6.5,6.8,6.4,7.3,7.7,7.9,2.3
,,,,,,,,,,,,,
Duration of stay ...............................,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,†
  Summer term ............................,33.7,37.2,37.2,38.7,38.1,35.8,37.8,37.7,37.1,37.8,38.1,39.0,1.8
  One semester ............................,38.5,37.5,36.9,36.3,35.5,37.3,35.8,34.5,35.0,33.6,31.9,31.8,-5.7
  8 weeks or less during ,,,,,,,,,,,,,
     academic year ..............................,7.4,8.0,9.5,9.8,11.0,11.7,11.9,13.3,14.4,15.3,16.5,16.7,8.7
  January term ..........................,7.0,6.0,5.4,6.8,7.2,7.0,6.9,7.1,7.0,7.1,7.5,7.4,1.4
  Academic year ...........................,7.3,6.0,5.3,4.3,4.1,4.1,3.8,3.7,3.2,3.1,2.9,2.5,-3.5
  One quarter .....................................,4.1,3.3,3.3,3.4,3.4,3.3,3.1,3.0,2.5,2.4,2.4,2.2,-1.1
  Two quarters ..........................,0.6,1.3,0.9,0.5,0.6,0.5,0.4,0.5,0.4,0.3,0.6,0.3,-1.0
  Calendar year ...........................,0.6,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.1
  Other ...........................................,0.8,0.5,1.3,0.1,#,0.2,0.1,0.1,0.3,0.3,#,0.1,-0.4
†Not applicable.,,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,
"\1\North Africa was combined with the Middle East to create the ""Middle East and North Africa"" category as of 2011-12, and the former ""Africa"" category was replaced by ""Sub-Saharan Africa"" (which excludes North Africa). Data for years prior to 2011-12 have been revised for comparability.",,,,,,,,,,,,,
"\2\Asia excludes the Middle Eastern countries (Bahrain, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Oman, the Palestinian Authority, Qatar, Saudi Arabia, Syria, the United Arab Emirates, and Yemen).",,,,,,,,,,,,,
\3\Cyprus and Turkey were classified as being in the Middle East prior to 2004-05 but in Europe for 2004-05 and later years. Data for 2000-01 have been revised for comparability.,,,,,,,,,,,,,
"\4\Mexico and Central America are included in Latin America, not in North America.",,,,,,,,,,,,,
\5\Includes Antarctica from 2002-03 onward.,,,,,,,,,,,,,
NOTE: Detail may not sum to totals because of rounding.,,,,,,,,,,,,,
"SOURCE: Institute of International Education, Open Doors: Report on International Educational Exchange, 2016. (This table was prepared December 2016.)",,,,,,,,,,,,,
