,"Leading Institutions Awarding Credit for Study Abroad, 2002/03 - 2019/20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002/03,,,,,,2003/04,,,,,,2004/05,,,,,,2005/06,,,,,,2006/07,,,,,,2007/08,,,,,,2008/09,,,,,,2009/10,,,,,,2010/11,,,,,,2011/12,,,,,,2012/13,,,,,,2013/14,,,,,,2014/15,,,,,,2015/16,,,,,,2016/17,,,,,,2017/18,,,,,,Total Enrollment,,,,,,,,,,,,,,,,,,,,2018/19,,,,,,Total Enrollment,,,,,,,,,,,,,,,,,,,,2019/20,,,
,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,Rank,Institutions,City,State,Study Abroad Students,,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,,Rank,Institutions,City,State,Study Abroad Students,,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,,Institutions,City,State,Study Abroad Students
,1,New York University,New York,NY,"2,061",,1,New York University,New York,NY,"2,475",,1,New York University,New York,NY,"2,611",,1,New York University,New York,NY,"2,809",,1,New York University,New York,NY,"3,034",,1,New York University,New York,NY,"3,395",,1,New York University,New York,NY,"3,524",,1,New York University,New York,NY,"4,156",,1,New York University,New York,NY,"3,799",,1,New York University,New York,NY,"4,378",,1,New York University,New York,NY,"4,274",,1,New York University,New York,NY,"4,504",,1,New York University,New York,NY,"4,310",,1,New York University,New York,NY,"4,481",,1,New York University,New York,NY,"4,436",,1,New York University,New York,NY,"4,793",,"37,149","29,813","30,682","31,606","30,000","32,836","33,389","33,408","33,747","34,824",-,-,-,-,-,-,-,-,-,,1,New York University,New York,NY,"4,839",,"37,149","29,813","30,682","31,606","30,000","32,836","33,389","33,408","33,747","34,824",-,-,-,-,-,-,-,-,-,,New York University,New York,NY,"3,403"
,2,University of California - Los Angeles,Los Angeles,CA,"1,917",,2,Michigan State University,East Lansing,MI,"2,269",,2,Michigan State University,East Lansing,MI,"2,385",,2,Michigan State University,East Lansing,MI,"2,558",,2,Michigan State University,East Lansing,MI,"2,801",,2,Michigan State University,East Lansing,MI,"2,969",,2,Michigan State University,East Lansing,MI,"2,610",,2,Michigan State University,East Lansing,MI,"2,589",,2,Michigan State University,East Lansing,MI,"2,577",,2,University of Texas - Austin,Austin,TX,"2,596",,2,University of Texas - Austin,Austin,TX,"2,799",,2,University of Texas - Austin,Austin,TX,"3,021",,2,Texas A&M University - College Station,College Station,TX,"3,219",,2,Texas A&M University - College Station,College Station,TX,"3,683",,2,Texas A&M University - College Station,College Station,TX,"3,848",,2,Texas A&M University - College Station,College Station,TX,"3,976",,"28,766","37,134","38,096","23,609","40,360","24,343","24,417","44,211","50,917","43,723",-,-,-,-,-,-,-,-,-,,2,Texas A&M University - College Station,College Station,TX,"3,768",,"28,766","37,134","38,096","23,609","40,360","24,343","24,417","44,211","50,917","43,723",-,-,-,-,-,-,-,-,-,,University of Minnesota - Twin Cities,Minneapolis,MN,"2,073"
,3,Michigan State University,East Lansing,MI,"1,864",,3,University of California - Los Angeles,Los Angeles,CA,"2,034",,3,University of Texas - Austin,Austin,TX,"2,169",,3,University of Texas - Austin,Austin,TX,"2,244",,3,University of Texas - Austin,Austin,TX,"2,172",,3,University of Minnesota - Twin Cities,Minneapolis,MN,"2,521",,3,University of California - Los Angeles,Los Angeles,CA,"2,371",,3,University of Southern California,Los Angeles,CA,"2,500",,3,University of Minnesota - Twin Cities,Minneapolis,MN,"2,562",,3,University of Minnesota - Twin Cities,Minneapolis,MN,"2,508",,3,University of Southern California,Los Angeles,CA,"2,750",,3,Texas A&M University,College Station,TX,"2,911",,3,University of Texas - Austin,Austin,TX,"2,948",,3,University of Southern California,Los Angeles,CA,"3,287",,3,University of Michigan - Ann Arbor,Ann Arbor,MI,"3,214",,3,University of Texas - Austin,Austin,TX,"3,293",,"22,425","22,425","23,324","38,847","50,377","38,712","50,917","24,842","25,414","43,208",-,-,-,-,-,-,-,-,-,,3,University of Texas - Austin,Austin,TX,"3,456",,"22,425","22,425","23,324","38,847","50,377","38,712","50,917","24,842","25,414","43,208",-,-,-,-,-,-,-,-,-,,San Diego State University,San Diego,CA,"1,634"
,4,University of Texas at Austin,Austin,TX,"1,654",,4,University of Texas at Austin,Austin,TX,"2,011",,4,Penn State University - University Park,University Park,PA,"2,084",,4,Penn State University - University Park,University Park,PA,"2,168",,4,University of Minnesota - Twin Cities,Minneapolis,MN,"2,079",,4,University of Texas - Austin,Austin,TX,"2,342",,4,University of Washington,Seattle,WA,"2,349",,4,University of California - Los Angeles,Los Angeles,CA,"2,363",,4,University of California - Los Angeles,Los Angeles,CA,"2,451",,4,Michigan State University,East Lansing,MI,"2,380",,4,University of Minnesota - Twin Cities,Minneapolis,MN,"2,555",,4,University of Southern California,Los Angeles,CA,"2,891",,4,University of Southern California,Los Angeles,CA,"2,891",,4,University of Texas - Austin,Austin,TX,"3,019",,4,University of Texas - Austin,Austin,TX,"3,129",,4,University of Michigan - Ann Arbor,Ann Arbor,MI,"3,130",,"37,762","37,871","38,564","38,188","23,775","53,215","41,342","41,135","41,495","41,051",-,-,-,-,-,-,-,-,-,,4,University of Michigan - Ann Arbor,Ann Arbor,MI,"3,429",,"37,762","37,871","38,564","38,188","23,775","53,215","41,342","41,135","41,495","41,051",-,-,-,-,-,-,-,-,-,,University of Wisconsin - Madison,Madison,WI,"1,602"
,5,University of Arizona,Tucson,AZ,"1,466",,5,Penn State University - University Park,University Park,PA,"1,874",,5,University of Minnesota - Twin Cities,Minneapolis,MN,"1,836",,5,University of Illinois - Urbana-Champaign,Champaign,IL,"1,988",,5,University of Georgia,Athens,GA,"2,060",,5,University of California - Los Angeles,Los Angeles,CA,"2,330",,5,University of Southern California,Los Angeles,CA,"2,348",,5,University of Texas - Austin,Austin,TX,"2,284",,5,University of Texas - Austin,Austin,TX,"2,350",,5,Indiana University - Bloomington,Bloomington,IN,"2,328",,5,Michigan State University,East Lansing,MI,"2,514",,5,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,719",,5,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,714",,5,Ohio State University - Columbus,Columbus,OH,"2,886",,5,San Diego State University,San Diego,CA,"3,039",,5,San Diego State University,San Diego,CA,"3,076",,"28,325","50,616","52,261","51,426","38,188","49,696","39,228","39,102","40,090","24,188",-,-,-,-,-,-,-,-,-,,5,Indiana University - Bloomington,Bloomington,IN,"3,244",,"28,325","50,616","52,261","51,426","38,188","49,696","39,228","39,102","40,090","24,188",-,-,-,-,-,-,-,-,-,,University of Michigan - Ann Arbor,Ann Arbor,MI,"1,547"
,6,University of Wisconsin - Madison,Madison,WI,"1,441",,6,University of North Carolina at Chapel Hill,Chapel Hill,NC,"1,657",,6,University of Florida,Gainesville,FL,"1,805",,6,University of Minnesota - Twin Cities,Minneapolis,MN,"1,981",,6,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,055",,6,University of Wisconsin - Madison,Madison,WI,"2,216",,6,University of Minnesota - Twin Cities,Minneapolis,MN,"2,347",,6,University of Washington,Seattle,WA,"2,226",,6,University of Southern California,Los Angeles,CA,"2,340",,6,University of Wisconsin - Madison,Madison,WI,"2,149",,6,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,365",,6,University of Minnesota - Twin Cities,Minneapolis,MN,"2,634",,6,University of Minnesota - Twin Cities,Minneapolis,MN,"2,705",,6,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,801",,6,Indiana University - Bloomington,Bloomington,IN,"2,839",,6,Indiana University - Bloomington,Bloomington,IN,"3,044",,"49,009","27,767","38,972","38,747","38,653","41,323","40,025","41,042","41,028","41,674",-,-,-,-,-,-,-,-,-,,6,University of Georgia,Athens,GA,"2,956",,"49,009","27,767","38,972","38,747","38,653","41,323","40,025","41,042","41,028","41,674",-,-,-,-,-,-,-,-,-,,Indiana University - Bloomington,Bloomington,IN,"1,537"
,7,University of North Carolina at Chapel Hill,Chapel Hill,NC,"1,426",,7,University of Minnesota -Twin Cities,Minneapolis,MN,"1,644",,7,University of Pennsylvania,Philadelphia,PA,"1,744",,7,University of California - Los Angeles,Los Angeles,CA,"1,966",,7,University of Illinois Urbana - Champaign,Champaign,IL,"2,052",,7,University of Washington,Seattle,WA,"2,124",,7,University of Texas - Austin,Austin,TX,"2,281",,7,Penn State University - University Park,University Park,PA,"2,212",,7,Indiana University - Bloomington,Bloomington,IN,"2,203",,7,University of Pennsylvania,Philadelphia,PA,"2,147",,7,Ohio State University - Columbus,Columbus,OH,"2,255",,7,Ohio State University - Columbus,Columbus,OH,"2,539",,7,Michigan State University,East Lansing,MI,"2,668",,7,Indiana University - Bloomington,Bloomington,IN,"2,720",,7,Ohio State University - Columbus,Columbus,OH,"2,712",,7,Ohio State University - Columbus,Columbus,OH,"2,941",,"47,952","48,477","38,263","39,031","39,031","39,533","49,738","38,896","50,006","39,750",-,-,-,-,-,-,-,-,-,,7,San Diego State University,San Diego,CA,"2,940",,"47,952","48,477","38,263","39,031","39,031","39,533","49,738","38,896","50,006","39,750",-,-,-,-,-,-,-,-,-,,Texas A&M University - College Station,College Station,TX,"1,504"
,8,University of Georgia,Athens,GA,"1,401",,8,University of Wisconsin - Madison,Madison,WI,"1,609",,8,University of Illinois - Urbana-Champaign,Champaign,IL,"1,739",,8,University of Florida,Gainesville,FL,"1,926",,8,University of Florida,Gainesville,FL,"2,051",,8,Penn State University - University Park,University Park,PA,"2,101",,8,University of Wisconsin - Madison,Madison,WI,"2,230",,8,Indiana University - Bloomington,Bloomington,IN,"2,190",,8,University of Pennsylvania,Philadelphia,PA,"2,198",,8,University of California - Los Angeles,Los Angeles,CA,"2,074",,8,Texas A&M University - College Station,College Station,TX,"2,254",,8,Michigan State University,East Lansing,MI,"2,478",,8,Ohio State University - Columbus,Columbus,OH,"2,603",,8,San Diego State University,San Diego,CA,"2,659",,8,Michigan State University,East Lansing,MI,"2,667",,8,University of Minnesota - Twin Cities,Minneapolis,MN,"2,585",,"38,103","37,684","28,981","29,049","29,596","30,957","38,218","50,201","38,263","47,278",-,-,-,-,-,-,-,-,-,,8,Ohio State University - Columbus,Columbus,OH,"2,829",,"38,103","37,684","28,981","29,049","29,596","30,957","38,218","50,201","38,263","47,278",-,-,-,-,-,-,-,-,-,,University of Washington,Seattle,WA,"1,467"
,9,Indiana University at Bloomington,Bloomington,IN,"1,379",,9,University of Georgia,Athens,GA,"1,595",,9,University of Georgia,Athens,GA,"1,731",,9,University of Georgia,Athens,GA,"1,916",,9,University of Washington,Seattle,WA,"1,970",,9,University of Illinois - Urbana-Champaign,Champaign,IL,"2,086",,9,Penn State University - University Park,University Park,PA,"2,181",,9,University of Minnesota - Twin Cities,Minneapolis,MN,"2,181",,9,University of Wisconsin - Madison,Madison,WI,"2,159",,9,University of Southern California,Los Angeles,CA,"2,065",,9,University of Wisconsin - Madison,Madison,WI,"2,157",,9,University of Illinois - Urbana-Champaign,Champaign,IL,"2,422",,9,San Diego State University,San Diego,CA,"2,422",,9,University of Minnesota - Twin Cities,Minneapolis,MN,"2,490",,9,University of Minnesota - Twin Cities,Minneapolis,MN,"2,576",,9,Arizona State University - Tempe,Tempe,AZ,"2,567",,"41,050","38,248","41,462","38,598","37,563","50,504","20,042","19,987","31,766","50,995",-,-,-,-,-,-,-,-,-,,9,Florida State University,Tallahassee,FL,"2,723",,"41,050","38,248","41,462","38,598","37,563","50,504","20,042","19,987","31,766","50,995",-,-,-,-,-,-,-,-,-,,Elon University,Elon,NC,"1,445"
,10,University of Illinois at Urbana - Champaign,Champaign,IL,"1,377",,10,University of Arizona,Tucson,AZ,"1,591",,10,University of Virginia - Charlottesville,Charlottesville,VA,"1,684",,10,Ohio State University - Columbus,Columbus,OH,"1,858",,10,University of Wisconsin - Madison,Madison,WI,"1,846",,10,University of Georgia,Athens,GA,"2,058",,10,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,116",,10,University of Wisconsin - Madison,Madison,WI,"2,169",,10,University of Washington,Seattle,WA,"2,152",,10,University of Michigan - Ann Arbor,Ann Arbor,MI,"2,060",,10,Indiana University - Bloomington,Bloomington,IN,"2,153",,10,University of Wisconsin - Madison,Madison,WI,"2,276",,10,Indiana University - Bloomington,Bloomington,IN,"2,395",,10,Michigan State University,East Lansing,MI,"2,391",,10,Arizona State University - Tempe,Tempe,AZ,"2,414",,10,University of Florida,Gainesville,FL,"2,561",,"37,669","45,937","49,676","50,731","50,995","27,220","31,574","32,053","46,648","31,499",-,-,-,-,-,-,-,-,-,,10,Pennsylvania State University - University Park,University Park,PA,"2,672",,"37,669","45,937","49,676","50,731","50,995","27,220","31,574","32,053","46,648","31,499",-,-,-,-,-,-,-,-,-,,University of Pennsylvania,Philadelphia,PA,"1,434"
,11,Boston University,Boston,MA,"1,369",,11,University of Florida,Gainesville,FL,"1,537",,11,University of Wisconsin - Madison,Madison,WI,"1,611",,11,Florida State University,Tallahassee,FL,"1,826",,11,University of California - Los Angeles,Los Angeles,CA,"1,831",,11,Indiana University - Bloomington,Bloomington,IN,"2,052",,11,Indiana University - Bloomington,Bloomington,IN,"2,028",,11,University of Arizona,Tucson,AZ,"2,064",,11,Penn State University - University Park,University Park,PA,"2,087",,11,Boston University,Boston,MA,"2,036",,11,Boston University,Boston,MA,"2,134",,11,University of Georgia,Athens,GA,"2,240",,11,University of Florida,Gainesville,FL,"2,286",,11,University of California - Los Angeles,Los Angeles,CA,"2,368",,11,Florida State University,Tallahassee,FL,"2,379",,11,Florida State University,Tallahassee,FL,"2,544",,"36,936","21,853","35,912","44,813","27,276","37,221","23,704","23,980","20,307","50,691",-,-,-,-,-,-,-,-,-,,11,University of Minnesota - Twin Cities,Minneapolis,MN,"2,669",,"36,936","21,853","35,912","44,813","27,276","37,221","23,704","23,980","20,307","50,691",-,-,-,-,-,-,-,-,-,,University of Maryland - College Park,College Park,MD,"1,405"
